clean_text,sentimen
Oke,positif
Selamat pagi kak Mohon bantuannya aplikasi My BCA saya kok mental terus gk bisa login,positif
MANTAAAP,negatif
apasi tiap  ke potong mulu duit gue gada penjelasan tiba ilang anj9,negatif
Kurang Puas,positif
Opsional,negatif
Aplikasi gak bisa dipakai  Padahal udah enak  pakai apikasinya  Bank sebelah enak juga transaksinya  jd pindah deh,positif
Terimakasih sudah tau titik problemnya kenapa ga masuk masuk  Alhamdulillah sudah normal kembali,positif
Kok sering close sendiri ya,negatif
Banyak yang force close di versi terbaru  Lapor udah tapi masih sama  Mendingan kemarin ngga usah di update ,positif
Cuman ngasih otp setelah itu gagal masuk  tidak menyelesaikan masalah malah bikin ruet  yang bikin aplikasi cuman menghabiskan pulsa saja  berulang ulang kode otp terus sampai habis pulsanya tidak bisa  besuk,negatif
Mantap,positif
V1 28 1 Kenapa ada masalah force close sekarang  ,negatif
bagus tampilanya,positif
Sangat bagus sekali saat transaksi,positif
Bagus  ,positif
Knapa kalau sudah mau  Masuk terus keluar  Lagi dengan  Tiba ,negatif
parah  update versi koq msh nge bug force closed  hubungi cs juga cm suruh nunggu  accesbility dah off jg sama aja  ITnya bs kerja gak ,negatif
Tolong di update Aplikasinya   selalu di force close saat login   gak bisa di gunakan sama sekali karena selalu force close aplilasinya,negatif
Ini kenapa sih eror terus beberapa bulan kebelakang  Ini sekarang malah gak bisa masukmasuk selelu kelempar keluar lagi setiap login,negatif
TOP  ,positif
tar tambahin lg mau coba dulu,positif
Aplikasi nya force close terus setelah update,negatif
Sementara saya kasi 1 aja  aplikasi hang terus Menghambat kerjaan saja,negatif
Tolong gimana caranya biar saldo yang pending di BI fast BCA bisa di kembalikan   mana gak ada live chat buat konfirmasi tolonggg banget pihak BCA  ,positif
Knp sih saldo nya ko suka ke ambil aja ,positif
Mohon bantuannya admin aplikasi My BCA  Ini kenapa setelah di update aplikasi pertanggal 24 Oct 24 jam 9 pagi s d malam jam 20 00  Aplikasi malah tidak bisa di buka  Selalu force close dengan sendirinya  Problem ini saya merepotkan saya dan merugikan saya  Mohon dibantu agar bisa segera di update lagi supaya saya bisa pakai aplikasi ini lagi  Ditunggu  Sebelumnya terimakasih  Salam Denny Putra,negatif
Force close Mulu,negatif
Update mulu perasaan  ,negatif
Aplikasinya dikit2 minta update buat repot,negatif
Masih force closed stelah login  udah install ulang juga kendalanya sama  mohon pencerahan bosku ,negatif
Aplikasi gak jelas verifikasi muka gak kebaca  padahal udah ditempat terang mau seterang apa lgi masa gua harus verifikasi dibawah bulan gila lu,negatif
Update terbaru jadi jelek Buka My BCA selalu force close app  aplikasi tidak dapat di buka  Harus menonaktifkan fitur Accessibility Service Jadi agak ribet soal ada aplikasi yg lain selalu minta aksebiltas di aktifkan ,negatif
Di update malah keluar terus hedeh,positif
Keren ,negatif
2 hari ini gak bisa login aplikasi  selalu force close  Sudah di clear cache  clear data bahkan install ulang aplikasi  Masih saja gak bisa login  Tolong berikan solusi nanti bintang saya perbaharui,negatif
Update terbarunya nyusahin org  Susah login  pas login bs tiba  close sendiri,negatif
sebelumnya aman tiba tiba force close terus di uninstall h sekarang ga bisa login,positif
ini knp force close trs ya padahal udh update versi terbaru udh beberapa hari keluar trs klo mau login  segera ditindak deh  lumayan menyengsarakan soalnya ,negatif
Force close min,negatif
Force close mulu pas login anehh padahal lagi dibutuhin,negatif
Kenapa saya ga bisa masuk ke aplikasinya  ,negatif
Ini kenapa sih setelah di perbarui malah error  saya jadi tdk bisa login dan akhirnya terblokir  tolonglah apk ini kebutuhan sehari  karna ada uangnya  2 hari saya jadi tdk bisa transaksi krn setiap masuk tiba  apk nya keluar sendiri,negatif
Habis update malah force close,negatif
luar biasa keren bengat top bgt,positif
Tolong donk d perbaiki ketika akun id terblokir bisa d selesai kan dg cara lain tdk melulu nelpon halo bca mana telpon halo bca mesti pake pulsa lagi  ,negatif
Setelah apdet gak bisa masuk ke menu langsung close dan keluar sendiri setelah masukin ID nya itu kenapa ya min biasa lancar  aja,positif
Aduuh  di update malah force down  tolong dong bca,negatif
Sangat bagus di MyBCA transaksi mudah dan flexible,positif
tidak bisa login,negatif
beberapa kali sampai bosan telp halo BCA dari yang ramah sampai yang ngegasss  myBCA saya selalu muncul notifikasi untuk reset pasword dan sudah beberapa kali ganti dan reset  masih muncul notifikasi tersebut    stelah updated  kacau aplikasi myBCA,negatif
Saya Pakai Samsung S24 FE lalu membuat BCA ID dan setelah itu langsung saya Login tiba tiba keluar dari aplikasi atau Force Close  Why ,negatif
Saya baru update my bca  kenapa setelah di update waktu mau login malah keluar aplikasi terus  Kok habis di update malah jelek aplikasinya,negatif
Hbis di update malah sekarang logout2 sendiri baik itu msuk input password maupun pake finger  tetap ga bsa masuk  Sinyal full  Pakai WiFi juga sama saja ga bisa masuk ,positif
Tiba tiba tidak BS akses mybca Krn lupa update,negatif
Sayang sekali untuk android versi 14 merk OPPO kok gak bisa ,negatif
Hi Developer  setelah update apps tidak bisa di buka auto close terus ketika login  Saya sudah menggunakan versi terbaru 1 28 1 dan koneksi menggunakan home internet  Saya menggunakan myBCA latest version 1 28 1  bukan BCA Mobile saya rasa ini 2 aplikasi yang berbeda  Saya sudah uninstall tapi masih belum berhasil juga,positif
tolong perbaiki force close terus  jadi ga nyaman,negatif
Force close ckckkck,negatif
Dari kmrin aplikasi bca ga bsa dbuka baik my bca maupun mobile bca aplikasi slalu keluar dgn sndrinya tiap kali d buka  sangat kecewa sekali,negatif
Okk,positif
MYBCA sangatlah bagus bisa membantu bngtt ,positif
Habis update ga bisa login Langsung keluar sendiri,positif
Mantull dah ,negatif
Setelah di update  malah keluar sendiri terus  Jadi ga bisa dipakai,negatif
Hbs update malah close sendiri,negatif
Tidak bisa loging  aplikasinya berhenti sebelum loging,negatif
hadehh setelah update malah force close mulu,negatif
Setelah update app ke versi terbaru  aplikasi selalu force close  Setiap login baik pakai fingerprint atau password  langsung force close tolong segera di perbaiki  Hp saya realme 5i ,positif
Ribet juga yah  Harus photo ktp sam selfi foto pegang ktp  Pdahal udh ada datanya hadehhh,negatif
Ga bs masuk,negatif
sebulan 2x update tpi pelayanan gk bagus hadehh  gimna sih min,positif
Ini kenapa saya gagak download apk halo BCA ,negatif
Parah force close trus2x an  Gak profesional blasssss  Masih tetep tidak bisa di pakai disuruh reset password setlah ganti tiba2x aplikasi tertutup sendiri uda dicoba berkali2x tetep sama aja ,negatif
aplikasinya saat membuat id dan password bisa  namun saat proses login mengalami force closed  mohon untuk di tindak lanjuti,negatif
Sudah 2 hari ini aplikasi BCA Mobile   My BCA lgsg force close saat login ,negatif
Terima kasih BCA,negatif
Mau login harus masukin nomor telepon  Tp nyri kode negara indonesia gak ada  Gimna cerotanya bca ,negatif
Force close terus Nggak usah banyak alasan Jaringan saya bagus penyimpanan saya masih luas,positif
Sudah bagus  tapi kemapa di device saya  setting biometriknya udah hidup  tpi tiap masuk pakai biometrik  ada pesan   ups ada kesalahan ,positif
Susah banget mau masuk ke aplikasinya,negatif
Kok engga bisa di buka,negatif
Tdk bisa masuk,negatif
Ko keluar terus ya,positif
Aplikasi suka keluar sendiri  mohon di perbaiki,negatif
Gak bisa dibuka pas masuk langsung mental keluar  udah di reset tapi masih aja,negatif
Mantap,positif
Banyak fiturnya,negatif
Setelah update aplikasi sering nutup dengan sendirinya,negatif
Setelah update malah gak bisa masuk ke aplikasi  setelah masuk ID dan password langsung tertutup,negatif
Ini gimana   MBCA   My BCA Force Close semua   ada apa udah 2 hari   dateng ke Cabang di bilang emang lagi gangguan   lah ko gini amattt,negatif
Setelah di update force close  suruh di matikan Taklback dan assisten masih force close,negatif
Pindah ke MYBCA gara2 MBCA force close Padahal pake MBCA 10th aman2 aja  ganti2 hp pun aman  baru kali ini force close  Unisntall trus instal lagi sama aja  Sekarang MYBCA jg ke update otomatis jadi force close  padahal baru pake seminggu  Coba di hp lain aman2 aja  Taik lah lama2 bug versi android  yakali mau pake mbanking minjem hp anak Asw,positif
Force close terooos,negatif
Pendaftaran cepat mudah cs ramah semuanya the best  ,positif
Versi 1 28 1 tidak dapat login di Samsung a54 Mempersulit saya  Reset aplikasi sampai install ulang tetap tidak berpengaruh,negatif
Setelah update malah Ga bisa dibuka setiap ketik password keluar mulu  Kecewa,negatif
Mudah di gunakan,positif
Setelah diupdate  setiap saya akan login aplikasinya keluar sendiri  Sudah saya install ulang tapi masih seperti itu  Sudah chat bca tapi jawabannya cek secara berkala ,negatif
Oke,positif
Sejak update force close terus ,negatif
Sudah 2 hari tidak bisa di akses  setiap login selalu FORCE CLOSED sendiri,negatif
Tadinya BCA salah satu bank yang akses untuk disabilitas tunanetra baru tahun ini setelah diminta update aplikasinya sudah tidak akses lagi untuk penyandang disabilitas tunanetra yang biasa menggunakan dengan pembaca layar mohon diperhatikan kembali agar aplikasinya bisa berguna untuk kami penyandang disabilitas tunanetra,negatif
ini kenapa ya devlop  tadinya sudah balik normal kok sekarang kalo mau log malah keluar sendiri  force close sendiri apk nya  ada masalah apa sih sebenernya setelah di update malah gini  selalu deh setelah update pasti gini ada aja masalahnya  tolong dong,positif
Bagus dan sangat bermanfaat,positif
Good,positif
wajib update aplikasi terus  buat hp yg ram penyimpanan nya kecil  sangat disayangkan  ,negatif
dari bulan kemarin pas buka aplikasi gak masalah  pas di update kok habis login langsung mati aplikasinya  tolong di benerin ya ,negatif
Disuruh update tapi ternyata pas udah update gabisa login sekalipun hmmmm,positif
Setelah update selalu force close terus  Android 13,negatif
Force close  Reinstall  login  crash  force close ,negatif
Pripun Niki di update malah susah login Sampun ke cs cba tetep mboten saget malah bingung cs BCA ne Sampun telfon halo BCA tetep mboten saget Di update lagi wae yang mudah login nya seperti dulu,negatif
Sudah 2 hari tidak bisa masuk mybca  Force close sendiri terus menerus Kenapa ya kok skg sering bermasalah,negatif
KAK INI KENAPA APLIKASINYA HABIS MASUKAN SANDI TIDAK BISA DIBUKAAA  SAYA INI LAGI BUTUH MALAH APLIKASINYA EROR GINI,negatif
Sering keluar atau tidak mau masuk,negatif
Tambahin e wallet biar lebih ok  kendala skrng sehabis di update malah force close terus  Ga bisa digunakan   solusi ,positif
Setelah update gak bisa buka,negatif
Biometrinya enggak bisa di pakai,negatif
Kok gak bisa di buka,negatif
Kenapa jadi tiba2 tidak bisa login weh  Tiap login pasti mental aplikasinya balik ke home screen hp  Gimana ini weh ,negatif
Selama ini aman2 saja  Tapi per tanggal 22 Oktober begitu sy mau buka aplikasinya  aplikasi tab tiba2 FORCE CLOSE  berkali kali sy buka  uninstal  restart hp  masih tetap sama  Ini fatal sih  Fatal banget  Tolonglah BCA tolong perbaiki segera  Bikin sulit nasabah kalau gini ceritanya ,positif
Masih tetap tidak bisa,negatif
Kenapa sekarang setelah di update mlh sering mental ya ga mau masuk ke aplikasi nya  kata sandi di masukin bukan nya masuk mlh mental keluar  tolong di perbaiki lagi,negatif
Lagi gak jelas bca,negatif
Update versi terbaru malah gak bisa login  terpental terus  keluar dri aplikasi nya sendiri  tolong solusinya,positif
Sekarang tidak bisa membuka aplikasi myBCA  Selalu force close  Padahal kemarin kemarin bisa ,negatif
Knp akun my bca saya gbsa d buka masukin pasword g bisa masuk lgs keluar bgtu saja,negatif
Force close trussss  Padahal udah update  Mohon perbaiki dong  Ko kmarin enak enak aja  Nanti kalo dah bener di rating ulang deh  Blom ya  Kita udah gonta ganti jaringan lo  Wifi data sama aja  Udah bisa  Masalah di aksebilitas memang,positif
Knp gak bisa akses aplikasi  Selalu menutup sendiri saat login ,negatif
Kok dalam Minggu ini update sering,positif
Setelah Update Force Close Terus  jangan update klo malah jadi rusak aplikasinya,negatif
Verifikasi identitas selalu gagal pdhl sudah bener semua,negatif
Tidak bisa login   back terus  Internet sudah stabil,negatif
Mudah penggunaannya,positif
Jelek aplikasi nya relog mulu auto close buka rekening,negatif
Oke,positif
Mempermudah untuk keperluan pembayaran dan pengiriman uang ,negatif
Setelah di update Mala gak bisa dibuka,negatif
Agak laen aplikasi bca  Dihubungi ke cs by wa katanya gak bisa login aplikasi karna pakai wifi  Lebih stabil pakai jaringan mobile  Parah2   Padahal mobile banking bank lain bisa pakai wifi  Mana verifikasi berbayar  Padahal bank lain sudah digratisin  Perlu banyak improve ,positif
Kenapa gk bisa di buka yah,negatif
Suruh upgrade malah g bisa dipake  huuh payah   ,negatif
Force close after biometrics  i can t do transaction helppp  ini bca gak ada niatan buat fix kah  Masa habis update jadi sama sekali gak bisa dipake  udah gitu ngasih solusi yg gak solutif  Astaga ,negatif
Kenapa mybca sering banget harus di update sih   Gk kya bca mobile,negatif
Sangat membantu alhamdulillah,positif
Sangat sulit dan ribet hanya untuk mendaftar saja  Sudah ikuti semua step namun sistem gagal terus ,negatif
Sehabis update ko jadi ga bisa masuk ya  pas login langsung keluar sendiri,negatif
Kenapa habis diupdate malahan keluar terus pas masukkan password ,negatif
setelah update  kenapa setiap mau masuk selalu keluar dari aplikasi nya ya min  ,negatif
Aplikasi busuk udah seminggu ga bisa dipake,negatif
Oke,positif
Setiap transaksi pasti gagal tapi kalo hotspot ke temen baru bisa transaksi ini emng transaksi harus pake wifi kenceng apa gimana sih ,negatif
kenapa sering kali aplikasi myBCA tidak dapat dibuka ,negatif
min gmna c aplikasi id benar pasword giliran login langsung keluar z,positif
Sejak update terakhir tidak bisa log in  selalu terpental  tolong segera perbaiki,negatif
Aplikasi force close,negatif
Dear tim IT BCA  Baru tadi ini saya mendapat update tidak menyenangkan hingga menyebabkan aplikasi crash dikarenakan saya memiliki antivirus endpoint yang wajib di nyalakan di aksesibilitas  antivirus  remote desktop tidak dapat kami gunakan kembali  untuk itu dimohon ketika melakukan roll update agar di tinjau dulu di berbagai brand hp,negatif
Mantap,positif
Sudah berhari hari aplikasi force close  log in aja ga bisa  Udh ribuan nasabah komplain di IG juga tanggapannya template tidak ada solusi nyata  Kalau sampe ribuan orang yang komplain berarti aplikasi anda yang perlu perbaikan  Lama lama kok BCA jadi begini ya  Kecewa banget ,negatif
Habis install gak bisa dipake  force close,negatif
Kenapa mental mulu keluar pas pakai sidik jari,negatif
Update sistem aplikasi mybca  force close tiba2  Apa hubungan nya dengan aksebilitas wahai tim IT BCA ,negatif
Hallo kenapa ya my BCA ku mau masuk udh dimasukin kode keluar terus ngak bngt dah pake my BCA kemaren udh mintk otp udh masuk terus blom sehari mau masuk lagi keluar trs ngak bngt pokoknya,negatif
Ga bisa login,negatif
Kecewa  udah beberapa hari ini tidak bisa transaksi gara  disuruh update  malah jadi gak bisa login  sudah report ke halo BCA tidak ada solusi  begitu pun ke kantor cabang  malah suruh nunggu update an terbaru lagi  sampe kapannnnnn,negatif
Fitur pinjam uang dong pliss,negatif
1Minggu yang lalu masih bisa sekarang tbtb kalau apk nya dibuka gabisa langsung ngeblank hitam trus out dari apk,positif
Sangat memudahkan nasabah ,positif
BCA selalu Luar Biasa  emang ,positif
halo  setelah update kenapa aplikasi nya force close terus ya ,negatif
Gajelas tiba2 gabisa dibuka,negatif
Terimakasih bca,negatif
Maaf BCA udah mau tutup atau sedang mau kondisi Pailid   Aplikasi nya force close udah 2 hari ini  ,negatif
Suruh masukin nmr telepon tpi pilihan kode negara indonesia malah tidak ada ,negatif
Saya ps mau login tidak dapat nomor kode otp nya padahal pulsa sudah kepotong mohon di bantu terimakasih,negatif
aplikasi error force close mulu,negatif
Bagus,positif
segala nya jadi lebih mudah tingkatkan,negatif
Setelah di update kenapa nggak bisa dibuka ya  selalu force close padahal jaringan stabil dan baik  sudah dicoba menggunakan jaringan wifi pribadi tapi masih ajjah force close nggak bisa di buka ,positif
Semakin di update  semakin tidak bisa utk login dan keluar sendiri dari aplikasi  Payah aplikasi my bca ini  ,positif
Setelah update selalu Force close  dan hanya bisa login di hp tertentu saja   tolong kembalikan seperti biasanya,positif
Pengoperasian mudah  pembukaan rekening online pun mudah respon video call juga cepat  terimakasih,positif
Kenapa apps habis di update malah tidak bisa log in  dan langsung keluar sendiri di updatw bukannya makin bagus malah makin banyak Bug aplikasinya ,positif
aplikasi yg sebenarnya bagus  tetapi mengapa akhir akhir ini sering sekali ada pembaruan  belum seminggu diperbarui minta diperbarui lagi,positif
Saya sudah daftar BCA ID tapi sewaktu mau Masuk dengan BCAID dan Password nya  Aplikasi MyBCA selalu CLOSE sendiri bisa tolong dibantu mengapa demikian ,negatif
Cuma menghargai pembuat aplikasi aja  selebihan bikin kecewa,negatif
Sbelumnya baik baik saja tapi setelah di update ketika buka app masukan pin bukannya terbuka malah app keluar sendiri,positif
Update malah jdi force close,negatif
Bagus,positif
Gimana sih saya mau login  sudah masukkan nomor id dan password  lalu di suruh masukkan nomor tlp  kode negara indo malah ga ada,negatif
Ga bisa login gimana ini aplikasi di update makin rusak,positif
Setelah di update tdk bisa login,negatif
transaksi jadi lebih mudah,negatif
Sangat bermanfaat,positif
2 hari tdak bsa d pake buruk sekali,negatif
Lebih mempermudah layanan transaksi,negatif
Setelah di update malah gak bisa di buka  ,negatif
Wow terimakasih Akun BCA ku sudah bisa dibuka,positif
Aplikasi mental terus gak bisa di login,positif
Aplikasi utk android tidak stabil,negatif
Good app,positif
Habis di update kok malah ga bisa LOGIN  parah Kah  Gimana ini Mybca  Bukan membaik  malah BURUK  Masih belom bisa LOGIN,negatif
Force Close App nya  Mbanking juga sama  BCA sudah tidak aman kah ,positif
habis update malah ga bisa di buka  habis masukin sandi aplikasinya kluar sndri,negatif
Woeeee  gak bisa dibuka dari kemarin  Makan apa ini akuuu  ,positif
Versi terbaru  jaringan stabil tp ttp kluar aplikasinya,positif
Abis di updet 22 okt 24  Gabisa login,negatif
Woiiiii di update malah force close yang bener aja lah mending ga USA update update lah malah bikin susah orang Update kendala sampe tgl 23 Oktober 2024 tidak bisa teratasi bukan masalah aksebelitas tapi ketidak cocokan apk ke hp lama Samsung galaxy a50 dengan android 11   hebatnya tidak segera ditangani yang membuat saya terpaksa memindahkan semua tabungan saya ke bank lain serta mematikan qris BCA akibat ketidak profesional tim IT yang mengupdate aplikasi    ,positif
Masuk harus menggunakan pulsa padahal sudah terdaftar keluar masuknya harus ada pulsanya jadi masuk dobel paketan sama pulsa harus ada  Padahal lewat WA juga harusnya bisa tapi ttep pake pulsa  Tolong lah diperbaiki ,negatif
Aplikasi ini force close terus ya  tidak bisa dipakai tiba tiba  Padahal sebelumnya masih bisa dipakai  Bisa segera diperbaiki  ,positif
Habis update kenapa gak bisa buka apk ya  Apa ada yg salah,negatif
maaf kak kenapa yaa ga bisa masuk ke app nya setiap kali masuk malah langsung keluar otomatis,negatif
Habis update kenak force close saat login fingerprint,negatif
Habis update Forced close terus min  Justru force close karena habis update aplikasi,negatif
Setelah update terakhir minggu lalu sampai sekarang selalu forced close setiap mau login  Sudah coba dihapus lalu install ulang masih tetap forced close  Sampai sekarang masih belum bisa ,negatif
Halo  bca mobile saya force close terus meneru  setelaz saya reset hp  saya install ulang tidak bekerja  saya pindah ke mybca setelah dua kali pemakaian  force close juga  tolong perbaiki,negatif
Kenapa aplikasinya force close,negatif
Kenapa habis masukin BCA id sama password Kok keluar ke menu lagi,negatif
Sering force close gak jelas  sedangkan sering di butuhkan ,negatif
mau buka rekening lewat apk gabisa  disuruh bikin id dulu udh bikin tpi pas login selalu keluar lagi  tolong dong ini gimana,positif
abis update  pas login malah force close terus  kenapa ya ,negatif
Setelah update gabisa login,negatif
Gak bisa masuk  Selalu keluar dari aplikasi  Padahal sebelumnya bisa,negatif
dari semalam update MyBCA kenapa selalu forced close terus ya saat log in   ,negatif
udh TF gopay ke apk mybca udh 3 hari uang ga masuk    emng bank sampahh,negatif
Terpecaya dalam penyimpanan uang,negatif
Susah masuk aplikasi  sering force close,negatif
Kenapa iniii mau buka kok forclose mluuu ada apaaaah udh seminggu lebih,positif
Ini kenapa ya ga bisa masuk ke myBCA ya  Langsung keluar gitu aja aplikasi nya setelah masuk user id dan password  Setelah upgrade terbaru ini untuk user android  Terima kasih kak  Mybca sudah bisa di accses kembali ,positif
UPDATE YANG TERBARU  saya login apk nya malah nge Bug  Keluar sendiri terus  Knapa ya  Sampai saat ini jd gabisa pake mybca   Aplikasi Sudah paling terbaru,positif
Force close Mulu waktu mau login,negatif
Ini bagaimana setelah update 23 10 24 kok tidak bisa dibuka  Tidak bisa login  bahkan BCA Mobile saya juga tidak bisa digunakan,negatif
Gak bisa login,negatif
setelah update malah tambah error  setiap kali login selalu force close  sudah telp CS tp masih tetap belum bisa  minta tolong untuk updatenya segera diperbaiki,negatif
Keren sihhh tapi susah buat menyambukan imailnya,positif
tolong update  kalo login suka force close,negatif
Di handphone saya  Android 10  bca mobile   my bca force close tidak dapat digunakan,negatif
update Terbaru  Tidak Bagus Untuk Pengguna Samsung  Selalu Keluar Sendiri saat Login,positif
Aplikasinya ok  tp tolong ditambahkan laporan transaksi masuk pada menu riwayat  supaya lengkap transaksi keluar   masuk ,positif
Gabisa masuk malah force close sendiri waktu abis update,negatif
Di hp infinix 11 play force close,negatif
Sangat bagus dan membantu,positif
Ngcrash mulu gk bisa masuk  tolong,negatif
Good,positif
Update bukannya makin bagus malah g bisa di buka,positif
hbs update mau masuk malah gabisa  keluar  terus  hadeh gajelas nih bca,negatif
Bca mobile kmrin setelah update g bisa masuk  skarng my bca juga Gak jelas ini BCA tolong di cek lgi yg urus apliksinya  masa update malah buat error,negatif
3hari force close terus setiap login gmn ini  My bca error   bca mobile jg error,negatif
Knapa ya g bisa masuk kluar trus padahal id  Sama pasword udah bener,negatif
Force close woi,negatif
Ada apa di update yg terbaru ini  app nya selalu force close  mohon di perbaiki bug nya  terimakasih BCA ,negatif
Update terbaru selalu force close aksebilti sudah di mati kan semua masih force close,positif
Sangat membantu  Makasih BCA,positif
Hari ini gak bisa dipakai,negatif
UPDATE an mulu  ampe bosen  keseringan update aplikasi   ribet  ,negatif
Kok login tiba2 mental atau keluar sendiri,positif
Sangat nyaman,positif
Baru update 1 28 1 malah gabisa dibuka  sesudah login langsung crash ,negatif
Harus segera cari IT baru  My BCA stelah update malah nyusahin  Mau ngapa2in force close terus  Ribet  Orang pakai mbanking mau simple malah ribet gini,negatif
Kadang login lagi suka keluar sendiri,negatif
Mohon maaf  ini kenapa ya dengan bca abis update malah force losed trs mohon diperbaiki,negatif
setelah update malah force close gabisa login  di samsung a24,negatif
Saya suka menggunakan aplikasi mybca ini,negatif
Alhamdulillah sudah normal bisa login setelah mesti cari cari tutorial di youtube ,positif
Saat saya ingin menggunakan aplikasinya malah force close sendiri,negatif
Tiap hari aja lu update kontolll,negatif
Begitu diupdate kenapa force close terus ,negatif
Selalu crash sesudah update yang terbaru  Saat sesudah memasukan password,positif
Sebelum di update ini sangat ok Namun setalah update  saya susah membuka aplikasi ini  Ketika akan menulis pasword  keyboard tidak bisa muncul  Dan aplikasi tidak merespon  Ini sudah terjadi sejak 18 oktober  Sy coba tiap hari dan selalu sama seperti ini  Mohon di perbaiki  Terimakasih,positif
Pengajuan paylater gak pernah di acc payah,negatif
Setelah di update malah susah buat masuk anehh  Apk di update bukannya makin bagus malah makin jelek,negatif
Setelah di update aplikasi nya tidak bisa dibuka langsung keluar gitu aja dari APK  disuruh reset password pas udah diganti password baru langsung keluar gitu aja dari APK nya  padahal memory masih lega dan jaringan internet lancar  Perangkat Infinix Zero 30 4G,positif
Ini seriusan sekelas BCA aplikasi semuanya BUG error mobile banking ga bisa M BCA jg ga bs halo BCA apalagi kacau nih ,negatif
Ok,positif
Sanagat mengecewakan habis di update malah gabisa login,negatif
setelah 2 taun memakai bca akhirnya saya mempunyai keluh kesah karna saldo terkuras tanpa adanya riwayat mutasi  harap di perbaiki ,negatif
Setelah update kenapa tidak bisa login y seperti force close sendiri,negatif
Sering bermasalah  setelah update aplikasi sering keluar sendiri saat login  Padahal udah masukin id sama password yang benar tinggal masuk menu eh malah keluar sendiri dari aplikasi ,negatif
kenapa saya tiap masukin sandi selalu keluar sendiri dari aplikasi ,negatif
Force clos Mulu aplikasi,negatif
Mau login dan minta kode OTP  Pulsa kesedot kode ga msuk  Gmna ni bca,negatif
Mohon maaf ini kenapa apk my BCA setelah update buat login kok keluar apk terus  ,negatif
Terlalu sering update  kzl ,negatif
Aplikasi tidak bisa di gunakan ketika masuk menu pasword setelah di update kenapa ini,negatif
mantep dan lebih lengkap dan mudah aplikasi my BCA lanjutkan,positif
Habis update kenapa malah force close terus bos,negatif
force close setelah update,negatif
Sangat bagus,positif
Update terbaru malah force close  tolong diperbaiki,positif
Aplikasi tidak bisa berjalan padahal cuma menghidupkan aksesibilitas buat launcher,negatif
Susah login  aplikasi forceclose terus saat login selalu mental close aplikasi,negatif
aplikasi menutup sendiri setelah login  biasanya saya pakai tidak ada masalah  hanya setelah saya update terbaru dan sekarang error menutup sendiri setelah login  ini sudah versi terbaru  barusan update langsung error,positif
ini kenapa ya  setelah update yg terbaru jadi tidak bisa buka aplikasinya  setelah input password lalu login langsung keluar dri aplikasi nya  mohon di bantu,positif
Setelah update versi 1 28 1 aplikasi tidak bisa digunakan,negatif
Tetap tidak bisa terbuka  sudah terbaru,negatif
sementara beri 4  dulu soalnya belum ada fitur top up kartu elektronik  e wallet  selain Flazz  jadinya agak ribet kalau mau top up Gopay  Jaklingko  dll ,positif
Update terbaru malah kyk fitur buat orang kuno  auto force close kalau ada aplikasi yg perlu aktifkan aksesibilitas  Lah anda kira aksesibilitas itu hanyalah jalan masuknya carding begitu  BUKA MATA ANDA  aplikasi kesehatan  alarm  produktivitas  bahkan hal penting semacam koneksi ke windows  juga antivirus perlu aktifkan aksesibilitas untuk tracking log aktivitas kita apabila ada hal yg mencurigakan Ini malah memutus jalurnya,positif
Gangguan,negatif
Selalu ada Potongan transaksi yang aneh  Di mutasi tidak ada  transfer 100k  Masuk hanya 86rb,negatif
Ini udah mau 2 hari habis update kok malah ga bisa di pakai setiap mau login pasti Force Close ga bisa ngapa2in lgi kalo emang update belum fix jgn dulu update dung kan gini yg hp android jadi ga bisa pakai setiap pakai pasti force close trus tindakan yg di ambil juga lama banget tolong perbaiki secepatnya maaf saya kasih rating 3 soalnya tindakanya terlalu lama ,negatif
Saya suka,negatif
Good job,positif
Barusan update  malah ga bisa login,negatif
Di saat saldo tinggal 2 000 di potong admin 14 000   5 000  harusnya di saat ada dana masuk 52 000  Sisa saldo 31 000  tapi kenapa Sisanya 0,negatif
Tolong perbaiki  setelah update malah gabisa login  Force close terus,negatif
Kenapa semua aplikasi bca jdi force closed gini  Jdi ga bisa kepke semua,negatif
Abis update jadi gk bisa login  abis tulis sandi selalu keluar aplikasi,negatif
setelah update malah force close terus  sudah hapus data  hapus cache  instal ulang tetep aja force close  hadeuuh   oppof11,negatif
setelah aplikasi eror dan tidak bisa log in respon developer langsung gercep kasih solusi  tengkyu BCA,positif
Kenapa habis update force close ketika akan login masukkan passord   Sdh coba uninstall hapus data sma aj ,negatif
Setelah update aplikasi   sekarang Force closed setiap kali mau masuk  Parahh,negatif
Ini gimana setiap login malah keluar aplikasi lagi,negatif
Setelah diupdate malah tidak bisa login ,negatif
mau login malah ke foreclose terus aneh banyak masalah di apk nya,negatif
Sering fc setelah update terbaru   sebelum update versi terbaru selalu aman tanpa kendala   setelah update versi terbaru  aplikasi selalu keluar sendiri ketika mau login  jadi aplikasi tidak bisa digunakan sama sekali untuk transaksi Mohon segera rilis versi terbaru untuk menindak lanjuti masalah ini,positif
Di update malah ga bisa kebuka,negatif
Jika memiliki kendala segera hubungi halobca karena disana sangat membantu penyelesaian masalah,positif
Diupdate malah mental terus,negatif
Ini kenapa aplikasi langsung close saat login,negatif
kenapa abis di update gak bisa buka aplikasiny,negatif
Update terakhir saya pake xiaomi knp pas login sering force close sendiri gini  apa karena updetan nya ya ,negatif
Samsung a20 keluar terus setelah input id dan password,negatif
